Submitted on:,Department,Course,Group,Gender,Q01_Class Demographics,Absenteeism,Q02_General Questions->A - 1. I am enjoying the subject,Q02_General Questions->A - 2. Classes start and end on time,"Q02_General Questions->A - 3. The learning environment is participative, involves learning by doing and is group-based",Q02_General Questions->A - 4. The subject content is delivered according to the course outline and meets my expectations,Q02_General Questions->A - 5. The topics are clear and logically developed,Q02_General Questions->A - 6. I am developing my oral and writing skills,Q02_General Questions->A - 7. I am developing my reflective and critical reasoning skills,Q02_General Questions->A - 8. The assessment methods are assisting me to learn,Q02_General Questions->A - 9. I receive relevant feedback,Q02_General Questions->A - 10. I read the recommended readings and notes,Q02_General Questions->A - 11. I use the eLearning material posted,Q03_Level of Learning Achieved->B - 1. Concept 1 of 4 - Ensemble Methods for Predictive Analytics,Q03_Level of Learning Achieved->B - 2. Concept 2 of 4 - Predictive Modelling Using R,Q04_Quality of Teaching Strategies->C - 1. Labs with comments that describe each step to be followed,Q04_Quality of Teaching Strategies->C - 2. Labs that require you to put in effort to make a submission related to the content of the lab,Q04_Quality of Teaching Strategies->C - 3. Labs that require you to use Git to work in a team,Q04_Quality of Teaching Strategies->C - 4. Labs that require you to work alone,"Q04_Quality of Teaching Strategies->C - 5. The quality of the lectures given (quality measured by the breadth (the full span of knowledge of a subject) and depth (the extent to which specific topics are focused upon, amplified, and explored) of learning - NOT quality measured by how fun/comical/lively the lectures are)",Q04_Quality of Teaching Strategies->C - 6. The recordings of online classes,Q04_Quality of Teaching Strategies->C - 7. Online classes in general,Q04_Quality of Teaching Strategies->C - 8. Face-to-Face classes in general,Q05_Likes->D - 1. Write two things you like about the teaching and learning in this unit so far.,Q05_Wishes->D - 2. Write at least one recommendation to improve the teaching and learning in this unit (for the remaining weeks in the semester)
26/09/2023 12:00,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Male,1 : Group A - Regular,15.38,5,5,4,5,4,4,5,5,4,4,4,4,5,5,4,5,4,3,4,4,5,It is interesting and helps improve coding skills,none
27/09/2023 10:22,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,4 : Group B - Exempt,25,3,5,5,5,4,5,4,4,5,4,5,4,4,4,5,5,5,5,4,3,5,it is very detailed hence of great helpIt is interactive both in the unit and in regards to other units such as IS project II,i would like if the concepts were divided where we learn the functions first online then do the practicals of it in person
27/09/2023 10:15,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,5 : Group C - Regular,75,4,5,5,5,5,4,5,5,5,4,4,3,3,5,5,4,4,5,5,5,4, Ensemble Methods for Predictive Analytics   Predictive Modelling Using R ,N/A
27/09/2023 10:12,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,41.67,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,4,4,4,4,Interactive,Flexibility
26/09/2023 12:21,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Female,1 : Group A - Regular,84.62,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,5,5,5,The concepts are well explained  Communication is effective ,I don't have any 
27/09/2023 10:16,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,25,4,4,4,4,5,3,4,5,3,3,3,3,3,1,1,3,4,4,4,4,4,  It is a bit more practical due to the use of python and r  The instructor is well organized and the teaching methods are useful  ,  Leniency with regards to lab work submission and future project work  
26/09/2023 12:04,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Male,1 : Group A - Regular,30.77,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,It is practical and based on modern concepts  The labs are interesting and thought provoking,More tutorials based on the labs
26/09/2023 12:28,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Female,1 : Group A - Regular,53.85,4,4,3,4,3,4,3,3,4,3,4,4,3,2,2,5,3,4,2,3,4,  I like that the labs are practical  I like being given enough time to do the labs  ,  Use of less complex datasets  
26/09/2023 11:52,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Female,2 : Group A - Exempt,23.08,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,Everything is good,i have no recommendations
27/09/2023 10:25,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,4 : Group B - Exempt,8.33,4,5,4,5,5,4,4,5,4,5,5,4,4,5,5,5,4,4,5,4,4,It is interesting and interactive since we get to use different tools in our sessions.,A guide to help us counter different problems like installation of packages during labs.
